a	a˧˧
mất tiền mua thúng thì đựng cho mòn	mɤ̆t˦˥tiən˧˨muə˧˧tʰuŋ͡m˨˦tʰi˧˨dɯŋ˨ˀ˩ʔcɔ˧˧mɔn˧˨
mất toi	mɤ̆t˦˥tɔj˧˧
mất tong	mɤ̆t˦˥tɔŋ͡m˧˧
mất trinh	mɤ̆t˦˥ciŋ˧˧
mất trí	mɤ̆t˦˥ci˨˦
mất trắng	mɤ̆t˦˥căŋ˨˦
mất trộm	mɤ̆t˦˥com˨ˀ˩ʔ
mất trộm mới rào giậu	mɤ̆t˦˥com˨ˀ˩ʔmɤj˨˦zaw˧˨zɤ̆w˨ˀ˩ʔ
mất trộm rồi mới rào giậu	mɤ̆t˦˥com˨ˀ˩ʔzoj˧˨mɤj˨˦zaw˧˨zɤ̆w˨ˀ˩ʔ
mất tích	mɤ̆t˦˥tik˦˥
mất tăm	mɤ̆t˦˥tăm˧˧
mất tăm mất tích	mɤ̆t˦˥tăm˧˧mɤ̆t˦˥tik˦˥
mất tư cách	mɤ̆t˦˥tɯ˧˧kɛk˦˥
mất vui	mɤ̆t˦˥vuj˧˧
mất vía	mɤ̆t˦˥viə˨˦
mất vía kinh hồn	mɤ̆t˦˥viə˨˦kiŋ˧˧hon˧˨
mất vải lại phải đi đo	mɤ̆t˦˥vaj˧˩˨laj˨ˀ˩ʔfaj˧˩˨di˧˧dɔ˧˧
mất vốn mất lãi	mɤ̆t˦˥von˨˦mɤ̆t˦˥laj˧ˀ˥
mất xác	mɤ̆t˦˥sak˦˥
mất ăn	mɤ̆t˦˥ăn˧˧
mất ăn mất ngủ	mɤ̆t˦˥ăn˧˧mɤ̆t˦˥ŋu˧˩˨
mấu	mɤ̆w˨˦
mấu chốt	mɤ̆w˨˦cot˦˥
mấu lồi	mɤ̆w˨˦loj˧˨
mấy	mɤ̆j˨˦
mấy ai	mɤ̆j˨˦aj˧˧
mấy chốc	mɤ̆j˨˦cok͡p˦˥
mấy hơi	mɤ̆j˨˦hɤj˧˧
mấy hột	mɤ̆j˨˦hot˨ˀ˩
mấy khi	mɤ̆j˨˦xi˧˧
mấy lâu	mɤ̆j˨˦lɤ̆w˧˧
mấy lăm	mɤ̆j˨˦lăm˧˧
mấy mươi	mɤ̆j˨˦mɯəj˧˧
mấy nao	mɤ̆j˨˦naw˧˧
mấy nả	mɤ̆j˨˦na˧˩˨
mấy nỗi	mɤ̆j˨˦noj˧ˀ˥
mấy thuở	mɤ̆j˨˦tʰuə˧˩˨
mấy đời	mɤ̆j˨˦dɤj˧˨
mấy đời rồng đến nhà tôm	mɤ̆j˨˦dɤj˧˨zoŋ͡m˧˨den˨˦ɲa˧˨tom˧˧
mấy đời sứa vượt qua đăng	mɤ̆j˨˦dɤj˧˨sɯə˨˦vɯət˨ˀ˩kwa˧˧dăŋ˧˧
mầm	mɤ̆m˧˨
mầm bệnh	mɤ̆m˧˨beŋ˨ˀ˩ʔ
mầm ghép	mɤ̆m˧˨ɣɛp˦˥
mầm mống	mɤ̆m˧˨moŋ͡m˨˦
mầm non	mɤ̆m˧˨nɔn˧˧
mầm phôi	mɤ̆m˧˨foj˧˧
mầm răng	mɤ̆m˧˨zăŋ˧˧
mần	mɤ̆n˧˨
mần ngơ	mɤ̆n˧˨ŋɤ˧˧
mần răng	mɤ̆n˧˨zăŋ˧˧
mần thinh	mɤ̆n˧˨tʰiŋ˧˧
mần trầu	mɤ̆n˧˨cɤ̆w˧˨
mần tuồng	mɤ̆n˧˨tuəŋ˧˨
mần tưới	mɤ̆n˧˨tɯəj˨˦
mần ăn	mɤ̆n˧˨ăn˧˧
mầng	mɤ̆ŋ˧˨
mầu	mɤ̆w˧˨
mầu mè	mɤ̆w˧˨mɛ˧˨
mầu mẽ	mɤ̆w˧˨mɛ˧ˀ˥
mầu mỡ	mɤ̆w˧˨mɤ˧ˀ˥
mầu nhiệm	mɤ̆w˧˨ɲiəm˨ˀ˩ʔ
mầu sắc	mɤ̆w˧˨săk˦˥
mầy	mɤ̆j˧˨
mầy mò	mɤ̆j˧˨mɔ˧˨
mẩm	mɤ̆m˧˩˨
mẩm dạ	mɤ̆m˧˩˨za˨ˀ˩ʔ
mẩn	mɤ̆n˧˩˨
mẩn tịt	mɤ̆n˧˩˨tit˨ˀ˩
mẩu	mɤ̆w˧˩˨
mẩy	mɤ̆j˧˩˨
mẫm	mɤ̆m˧ˀ˥
mẫm mạp	mɤ̆m˧ˀ˥map˨ˀ˩
mẫn	mɤ̆n˧ˀ˥
mẫn cán	mɤ̆n˧ˀ˥kan˨˦
mẫn cảm	mɤ̆n˧ˀ˥kam˧˩˨
mẫn nhuệ	mɤ̆n˧ˀ˥ɲwe˨ˀ˩ʔ
mẫn tiệp	mɤ̆n˧ˀ˥tiəp˨ˀ˩
mẫn tuệ	mɤ̆n˧ˀ˥twe˨ˀ˩ʔ
mẫu	mɤ̆w˧ˀ˥
mẫu biểu	mɤ̆w˧ˀ˥biəw˧˩˨
mẫu giáo	mɤ̆w˧ˀ˥zaw˨˦
mẫu gốc	mɤ̆w˧ˀ˥ɣok͡p˦˥
mẫu hậu	mɤ̆w˧ˀ˥hɤ̆w˨ˀ˩ʔ
mẫu hệ	mɤ̆w˧ˀ˥he˨ˀ˩ʔ
mẫu mã	mɤ̆w˧ˀ˥ma˧ˀ˥
mẫu mực	mɤ̆w˧ˀ˥mɯk˨ˀ˩
mẫu nghi	mɤ̆w˧ˀ˥ŋi˧˧
mẫu quyền	mɤ̆w˧ˀ˥kwiɛn˧˨
mẫu quán	mɤ̆w˧ˀ˥kwan˨˦
mẫu quốc	mɤ̆w˧ˀ˥kwok͡p˦˥
mẫu số	mɤ̆w˧ˀ˥so˨˦
mẫu số chung	mɤ̆w˧ˀ˥so˨˦cuŋ͡m˧˧
mẫu ta	mɤ̆w˧ˀ˥ta˧˧
mẫu thân	mɤ̆w˧ˀ˥tʰɤ̆n˧˧
mẫu thức	mɤ̆w˧ˀ˥tʰɯk˦˥
mẫu tây	mɤ̆w˧ˀ˥tɤ̆j˧˧
mẫu tính	mɤ̆w˧ˀ˥tiŋ˨˦
mẫu tử	mɤ̆w˧ˀ˥tɯ˧˩˨
mẫu tự	mɤ̆w˧ˀ˥tɯ˨ˀ˩ʔ
mẫu vật	mɤ̆w˧ˀ˥vɤ̆t˨ˀ˩
mẫu âm	mɤ̆w˧ˀ˥ɤ̆m˧˧
mẫu đơn	mɤ̆w˧ˀ˥dɤn˧˧
mậm	mɤ̆m˨ˀ˩ʔ
mận	mɤ̆n˨ˀ˩ʔ
mận rừng	mɤ̆n˨ˀ˩ʔzɯŋ˧˨
mập	mɤ̆p˨ˀ˩
mập mà mập mờ	mɤ̆p˨ˀ˩ma˧˨mɤ̆p˨ˀ˩mɤ˧˨
mập mạp	mɤ̆p˨ˀ˩map˨ˀ˩
mập mờ	mɤ̆p˨ˀ˩mɤ˧˨
mập ù	mɤ̆p˨ˀ˩u˧˨
mập ú	mɤ̆p˨ˀ˩u˨˦
mập ú ù	mɤ̆p˨ˀ˩u˨˦u˧˨
mật	mɤ̆t˨ˀ˩
mật báo	mɤ̆t˨ˀ˩baw˨˦
mật chỉ	mɤ̆t˨ˀ˩ci˧˩˨
mật công	mɤ̆t˨ˀ˩koŋ͡m˧˧
mật cứ	mɤ̆t˨ˀ˩kɯ˨˦
mật danh	mɤ̆t˨ˀ˩zɛŋ˧˧
mật dụ	mɤ̆t˨ˀ˩zu˨ˀ˩ʔ
mật gấu	mɤ̆t˨ˀ˩ɣɤ̆w˨˦
mật hiệu	mɤ̆t˨ˀ˩hiəw˨ˀ˩ʔ
mật hoa	mɤ̆t˨ˀ˩hwa˧˧
mật huyết	mɤ̆t˨ˀ˩hwiət˦˥
mật khẩu	mɤ̆t˨ˀ˩xɤ̆w˧˩˨
mật kế	mɤ̆t˨ˀ˩ke˨˦
mật lệnh	mɤ̆t˨ˀ˩leŋ˨ˀ˩ʔ
mật mã	mɤ̆t˨ˀ˩ma˧ˀ˥
mật mã hoá	mɤ̆t˨ˀ˩ma˧ˀ˥hwa˨˦
mật mã hóa	mɤ̆t˨ˀ˩ma˧ˀ˥hwa˨˦
mật mông hoa	mɤ̆t˨ˀ˩moŋ͡m˧˧hwa˧˧
mật nguyệt	mɤ̆t˨ˀ˩ŋwiət˨ˀ˩
mật ngọt chết ruồi	mɤ̆t˨ˀ˩ŋɔt˨ˀ˩cet˦˥zuəj˧˨
mật ngữ	mɤ̆t˨ˀ˩ŋɯ˧ˀ˥
mật ong	mɤ̆t˨ˀ˩ɔŋ͡m˧˧
mật phái	mɤ̆t˨ˀ˩faj˨˦
mật thiết	mɤ̆t˨ˀ˩tʰiət˦˥
mật thám	mɤ̆t˨ˀ˩tʰam˨˦
mật thư	mɤ̆t˨ˀ˩tʰɯ˧˧
mật tiếp	mɤ̆t˨ˀ˩tiəp˦˥
mật tấu	mɤ̆t˨ˀ˩tɤ̆w˨˦
mật vụ	mɤ̆t˨ˀ˩vu˨ˀ˩ʔ
mật xanh mật vàng	mɤ̆t˨ˀ˩sɛŋ˧˧mɤ̆t˨ˀ˩vaŋ˧˨
mật ít ruồi nhiều	mɤ̆t˨ˀ˩it˦˥zuəj˧˨ɲiəw˧˨
mật điện	mɤ̆t˨ˀ˩diən˨ˀ˩ʔ
mật đàm	mɤ̆t˨ˀ˩dam˧˨
mật độ	mɤ̆t˨ˀ˩do˨ˀ˩ʔ
mật ước	mɤ̆t˨ˀ˩ɯək˦˥
mậu	mɤ̆w˨ˀ˩ʔ
mậu dịch	mɤ̆w˨ˀ˩ʔzik˨ˀ˩
mậu dịch quốc doanh	mɤ̆w˨ˀ˩ʔzik˨ˀ˩kwok͡p˦˥zwɛŋ˧˧
mậu dịch tiểu ngạch	mɤ̆w˨ˀ˩ʔzik˨ˀ˩tiəw˧˩˨ŋɛk˨ˀ˩
mậu dịch viên	mɤ̆w˨ˀ˩ʔzik˨ˀ˩viən˧˧
mậy	mɤ̆j˨ˀ˩ʔ
mắc	măk˦˥
mắc bẫy	măk˦˥bɤ̆j˧ˀ˥
mắc bẫy cò ke	măk˦˥bɤ̆j˧ˀ˥kɔ˧˨kɛ˧˧
mắc bận	măk˦˥bɤ̆n˨ˀ˩ʔ
mắc coọc	măk˦˥kɔk͡p˨ˀ˩
mắc cười	măk˦˥kɯəj˧˨
mắc cạn	măk˦˥kan˨ˀ˩ʔ
mắc cọc	măk˦˥kɔk͡p˨ˀ˩
mắc cỡ	măk˦˥kɤ˧ˀ˥
mắc cửi	măk˦˥kɯj˧˩˨
mắc dịch	măk˦˥zik˨ˀ˩
mắc kẹt	măk˦˥kɛt˨ˀ˩
mắc lận	măk˦˥lɤ̆n˨ˀ˩ʔ
mắc lỗi	măk˦˥loj˧ˀ˥
mắc lỡm	măk˦˥lɤm˧ˀ˥
mắc lừa	măk˦˥lɯə˧˨
mắc màn	măk˦˥man˧˨
mắc míu	măk˦˥miw˨˦
mắc mưu	măk˦˥mɯw˧˧
mắc mỏ	măk˦˥mɔ˧˩˨
mắc mớ	măk˦˥mɤ˨˦
mắc mớp	măk˦˥mɤp˦˥
mắc mứu	măk˦˥mɯw˨˦
mắc nghẽn	măk˦˥ŋɛn˧ˀ˥
mắc nàn	măk˦˥nan˧˨
mắc nạn	măk˦˥nan˨ˀ˩ʔ
mắc nợ	măk˦˥nɤ˨ˀ˩ʔ
mắc phải	măk˦˥faj˧˩˨
mắc việc	măk˦˥viək˨ˀ˩
mắc vào khuôn	măk˦˥vaw˧˨xuən˧˧
mắc vào vành	măk˦˥vaw˧˨vɛŋ˧˨
mắc vạ vịt	măk˦˥va˨ˀ˩ʔvit˨ˀ˩
mắc xương	măk˦˥sɯəŋ˧˧
mắc xương gà sa cành khế	măk˦˥sɯəŋ˧˧ɣa˧˨sa˧˧kɛŋ˧˨xe˨˦
mắc áo	măk˦˥aw˨˦
mắc-coọc	măk˦˥-kɔk͡p˨ˀ˩
mắm	măm˨˦
mắm cá	măm˨˦ka˨˦
mắm cái	măm˨˦kaj˨˦
mắm kem	măm˨˦kɛm˧˧
mắm lóc	măm˨˦lɔk͡p˦˥
mắm miệng	măm˨˦miəŋ˨ˀ˩ʔ
mắm miệng day tay	măm˨˦miəŋ˨ˀ˩ʔzăj˧˧tăj˧˧
mắm muối	măm˨˦muəj˨˦
mắm môi	măm˨˦moj˧˧
mắm nào vừa miệng cả làng	măm˨˦naw˧˨vɯə˧˨miəŋ˨ˀ˩ʔka˧˩˨laŋ˧˨
mắm nêm	măm˨˦nem˧˧
mắm ruốc	măm˨˦zuək˦˥
mắm rươi	măm˨˦zɯəj˧˧
mắm sống	măm˨˦soŋ͡m˨˦
mắm sốt	măm˨˦sot˦˥
mắm tép	măm˨˦tɛp˦˥
mắm tôm	măm˨˦tom˧˧
mắm tôm chua	măm˨˦tom˧˧cuə˧˧
mắn	măn˨˦
mắn đẻ	măn˨˦dɛ˧˩˨
mắng	măŋ˨˦
mắng chửi	măŋ˨˦cɯj˧˩˨
mắng mèo chửi chó	măŋ˨˦meo˧˨cɯj˧˩˨cɔ˨˦
mắng mèo quèo chó	măŋ˨˦meo˧˨kweo˧˨cɔ˨˦
mắng mỏ	măŋ˨˦mɔ˧˩˨
mắng nhiếc	măŋ˨˦ɲiək˦˥
mắng như tát nước	măŋ˨˦ɲɯ˧˧tat˦˥nɯək˦˥
mắng như tát nước vào mặt	măŋ˨˦ɲɯ˧˧tat˦˥nɯək˦˥vaw˧˨măt˨ˀ˩
mắng như té như tát	măŋ˨˦ɲɯ˧˧tɛ˨˦ɲɯ˧˧tat˦˥
mắng té mắng tát	măŋ˨˦tɛ˨˦măŋ˨˦tat˦˥
mắng vuốt mặt không kịp	măŋ˨˦vuət˦˥măt˨ˀ˩xoŋ͡m˧˧kip˨ˀ˩
mắt	măt˦˥
mắt ba vành sơn son	măt˦˥ba˧˧vɛŋ˧˨sɤn˧˧sɔn˧˧
mắt bão	măt˦˥baw˧ˀ˥
mắt bù lạch	măt˦˥bu˧˨lɛk˨ˀ˩
mắt bảy lẻ	măt˦˥băj˧˩˨lɛ˧˩˨
mắt bồ câu	măt˦˥bo˧˨kɤ̆w˧˧
mắt cá	măt˦˥ka˨˦
mắt cáo	măt˦˥kaw˨˦
mắt cú da lươn	măt˦˥ku˨˦za˧˧lɯən˧˧
mắt cú vọ	măt˦˥ku˨˦vɔ˨ˀ˩ʔ
mắt diều hâu	măt˦˥ziəw˧˨hɤ̆w˧˧
mắt dơi mày chuột	măt˦˥zɤj˧˧măj˧˨cuət˨ˀ˩
mắt ghép	măt˦˥ɣɛp˦˥
mắt gió	măt˦˥zɔ˨˦
mắt giương như mắt ếch	măt˦˥zɯəŋ˧˧ɲɯ˧˧măt˦˥ek˦˥
mắt gà	măt˦˥ɣa˧˨
mắt hoe cá chày	măt˦˥hwe˧˧ka˨˦căj˧˨
mắt hột	măt˦˥hot˨ˀ˩
mắt kép	măt˦˥kɛp˦˥
mắt kính	măt˦˥kiŋ˨˦
mắt la mày lét	măt˦˥la˧˧măj˧˨lɛt˦˥
mắt long sòng sọc	măt˦˥lɔŋ͡m˧˧sɔŋ͡m˧˨sɔk͡p˨ˀ˩
mắt loà chân chậm	măt˦˥lwa˧˨cɤ̆n˧˧cɤ̆m˨ˀ˩ʔ
mắt lơ mày láo	măt˦˥lɤ˧˧măj˧˨law˨˦
mắt lưới	măt˦˥lɯəj˨˦
mắt lỗ đáo	măt˦˥lo˧ˀ˥daw˨˦
mắt lợn luộc	măt˦˥lɤn˨ˀ˩ʔluək˨ˀ˩
mắt mù tai điếc	măt˦˥mu˧˨taj˧˧diək˦˥
mắt mũi	măt˦˥muj˧ˀ˥
mắt mỏ	măt˦˥mɔ˧˩˨
mắt nhoèn	măt˦˥ɲwen˧˨
mắt như mắt không đồng tử	măt˦˥ɲɯ˧˧măt˦˥xoŋ͡m˧˧doŋ͡m˧˨tɯ˧˩˨
mắt như mắt lợn luộc	măt˦˥ɲɯ˧˧măt˦˥lɤn˨ˀ˩ʔluək˨ˀ˩
mắt như mắt rắn ráo	măt˦˥ɲɯ˧˧măt˦˥zăn˨˦zaw˨˦
mắt nhắm mắt mở	măt˦˥ɲăm˨˦măt˦˥mɤ˧˩˨
mắt phượng mày ngài	măt˦˥fɯəŋ˨ˀ˩ʔmăj˧˨ŋaj˧˨
mắt sắc như dao	măt˦˥săk˦˥ɲɯ˧˧zaw˧˧
mắt sắc như dao cau	măt˦˥săk˦˥ɲɯ˧˧zaw˧˧kăw˧˧
mắt sắc như dao cầu	măt˦˥săk˦˥ɲɯ˧˧zaw˧˧kɤ̆w˧˨
mắt thấy tai nghe	măt˦˥tʰɤ̆j˨˦taj˧˧ŋɛ˧˧
mắt thần	măt˦˥tʰɤ̆n˧˨
mắt thứ hai tai thứ bảy	măt˦˥tʰɯ˨˦haj˧˧taj˧˧tʰɯ˨˦băj˧˩˨
mắt thứ hai, tai thứ bảy	măt˦˥tʰɯ˨˦haj˧˧taj˧˧tʰɯ˨˦băj˧˩˨
mắt to như ốc nhồi	măt˦˥tɔ˧˧ɲɯ˧˧ok͡p˦˥ɲoj˧˨
mắt tròn mắt dẹt	măt˦˥cɔn˧˨măt˦˥zɛt˨ˀ˩
mắt trông, tay trỏ đủ mười	măt˦˥coŋ͡m˧˧tăj˧˧cɔ˧˩˨du˧˩˨mɯəj˧˨
mắt trước mắt sau	măt˦˥cɯək˦˥măt˦˥săw˧˧
mắt trắng dã	măt˦˥căŋ˨˦za˧ˀ˥
mắt trắng dã môi thâm sì	măt˦˥căŋ˨˦za˧ˀ˥moj˧˧tʰɤ̆m˧˧si˧˨
mắt vọ	măt˦˥vɔ˨ˀ˩ʔ
mắt xanh	măt˦˥sɛŋ˧˧
mắt xích	măt˦˥sik˦˥
mắt xếch	măt˦˥sek˦˥
mắt đơn	măt˦˥dɤn˧˧
mắt để trước trán	măt˦˥de˧˩˨cɯək˦˥can˨˦
mắt đỏ ngầu	măt˦˥dɔ˧˩˨ŋɤ̆w˧˨
mắt đỏ như mắt cá chày	măt˦˥dɔ˧˩˨ɲɯ˧˧măt˦˥ka˨˦căj˧˨
mắt đổ hào quang	măt˦˥do˧˩˨haw˧˨kwaŋ˧˧
mắt đổ đom đóm	măt˦˥do˧˩˨dɔm˧˧dɔm˨˦
mắt ốc nhồi	măt˦˥ok͡p˦˥ɲoj˧˨
mằn	măn˧˨
mằn mặn	măn˧˨măn˨ˀ˩ʔ
mằn thắn	măn˧˨tʰăn˨˦
mẳn	măn˧˩˨
mặc	măk˨ˀ˩
mặc cả	măk˨ˀ˩ka˧˩˨
mặc cảm	măk˨ˀ˩kam˧˩˨
mặc dù	măk˨ˀ˩zu˧˨
mặc dầu	măk˨ˀ˩zɤ̆w˧˨
mặc giời	măk˨ˀ˩zɤj˧˨
mặc khách	măk˨ˀ˩xɛk˦˥
mặc khách tao nhân	măk˨ˀ˩xɛk˦˥taw˧˧ɲɤ̆n˧˧
mặc kệ	măk˨ˀ˩ke˨ˀ˩ʔ
mặc lòng	măk˨ˀ˩lɔŋ͡m˧˨
mặc may	măk˨ˀ˩măj˧˧
mặc nhiên	măk˨ˀ˩ɲiən˧˧
mặc niệm	măk˨ˀ˩niəm˨ˀ˩ʔ
mặc sức	măk˨ˀ˩sɯk˦˥
mặc sức đi dạo	măk˨ˀ˩sɯk˦˥di˧˧zaw˨ˀ˩ʔ
mặc thây	măk˨ˀ˩tʰɤ̆j˧˧
mặc tình	măk˨ˀ˩tiŋ˧˨
mặc tưởng	măk˨ˀ˩tɯəŋ˧˩˨
mặc xác	măk˨ˀ˩sak˦˥
mặc áo không bâu	măk˨ˀ˩aw˨˦xoŋ͡m˧˧bɤ̆w˧˧
mặc ý	măk˨ˀ˩i˨˦
mặc đời cua máy cáy đào	măk˨ˀ˩dɤj˧˨kuə˧˧măj˨˦kăj˨˦daw˧˨
mặn	măn˨ˀ˩ʔ
mặn miệng	măn˨ˀ˩ʔmiəŋ˨ˀ˩ʔ
mặn mà	măn˨ˀ˩ʔma˧˨
mặn mòi	măn˨ˀ˩ʔmɔj˧˨
mặn mòi day dứt	măn˨ˀ˩ʔmɔj˧˨zăj˧˧zɯt˦˥
mặn mắm chết giòi	măn˨ˀ˩ʔmăm˨˦cet˦˥zɔj˧˨
mặn như chườm	măn˨ˀ˩ʔɲɯ˧˧cɯəm˧˨
mặn nồng	măn˨ˀ˩ʔnoŋ͡m˧˨
mặn tình	măn˨ˀ˩ʔtiŋ˧˨
mặn tình cát lũy, lạt tình tao khang	măn˨ˀ˩ʔtiŋ˧˨kat˦˥luj˧ˀ˥lat˨ˀ˩tiŋ˧˨taw˧˧xaŋ˧˧
mặt	măt˨ˀ˩
mặt bèn bẹt như bánh giầy	măt˨ˀ˩bɛn˧˨bɛt˨ˀ˩ɲɯ˧˧bɛŋ˨˦zɤ̆j˧˨
mặt bên	măt˨ˀ˩ben˧˧
mặt búng ra sữa	măt˨ˀ˩buŋ͡m˨˦za˧˧sɯə˧ˀ˥
mặt bấm ra sữa	măt˨ˀ˩bɤ̆m˨˦za˧˧sɯə˧ˀ˥
mặt bằng	măt˨ˀ˩băŋ˧˨
mặt bằng ngón tay chéo	măt˨ˀ˩băŋ˧˨ŋɔn˨˦tăj˧˧ceo˨˦
mặt bằng ngón tay tréo	măt˨ˀ˩băŋ˧˨ŋɔn˨˦tăj˧˧ceo˨˦
mặt bằng pháp lí	măt˨ˀ˩băŋ˧˨fap˦˥li˨˦
mặt bể	măt˨ˀ˩be˧˩˨
mặt bủng da chì	măt˨ˀ˩buŋ͡m˧˩˨za˧˧ci˧˨
mặt chữ	măt˨ˀ˩cɯ˧ˀ˥
mặt chữ điền	măt˨ˀ˩cɯ˧ˀ˥diən˧˨
mặt cân	măt˨ˀ˩kɤ̆n˧˧
mặt cú da dơi	măt˨ˀ˩ku˨˦za˧˧zɤj˧˧
mặt cưa	măt˨ˀ˩kɯə˧˧
mặt cầu	măt˨ˀ˩kɤ̆w˧˨
mặt cắt	măt˨ˀ˩kăt˦˥
mặt cắt không còn giọt máu	măt˨ˀ˩kăt˦˥xoŋ͡m˧˧kɔn˧˨zɔt˨ˀ˩măw˨˦
mặt cắt không còn hột máu	măt˨ˀ˩kăt˦˥xoŋ͡m˧˧kɔn˧˨hot˨ˀ˩măw˨˦
mặt cắt không ra máu	măt˨ˀ˩kăt˦˥xoŋ͡m˧˧za˧˧măw˨˦
mặt dày	măt˨ˀ˩zăj˧˨
mặt dày mày dạn	măt˨ˀ˩zăj˧˨măj˧˨zan˨ˀ˩ʔ
mặt dưới	măt˨ˀ˩zɯəj˨˦
mặt dạn mày dày	măt˨ˀ˩zan˨ˀ˩ʔmăj˧˨zăj˧˨
mặt dựng	măt˨ˀ˩zɯŋ˨ˀ˩ʔ
mặt giáp mặt	măt˨ˀ˩zap˦˥măt˨ˀ˩
mặt giăng	măt˨ˀ˩zăŋ˧˧
mặt giời	măt˨ˀ˩zɤj˧˨
mặt hoa	măt˨ˀ˩hwa˧˧
mặt hoa da phấn	măt˨ˀ˩hwa˧˧za˧˧fɤ̆n˨˦
mặt hoa mày liễu	măt˨ˀ˩hwa˧˧măj˧˨liəw˧ˀ˥
mặt hàng	măt˨ˀ˩haŋ˧˨
mặt khác	măt˨ˀ˩xak˦˥
mặt khó đăm đăm	măt˨ˀ˩xɔ˨˦dăm˧˧dăm˧˧
mặt kính	măt˨ˀ˩kiŋ˨˦
mặt làm thinh tình đã ưng	măt˨ˀ˩lam˧˨tʰiŋ˧˧tiŋ˧˨da˧ˀ˥ɯŋ˧˧
mặt lưng mày vực	măt˨ˀ˩lɯŋ˧˧măj˧˨vɯk˨ˀ˩
mặt lưỡi cày	măt˨ˀ˩lɯəj˧ˀ˥kăj˧˨
mặt lạnh như tiền	măt˨ˀ˩lɛŋ˨ˀ˩ʔɲɯ˧˧tiən˧˨
mặt lầm lầm như chó ăn vụng bột	măt˨ˀ˩lɤ̆m˧˨lɤ̆m˧˨ɲɯ˧˧cɔ˨˦ăn˧˧vuŋ͡m˨ˀ˩ʔbot˨ˀ˩
mặt lầm lầm tát nước đầm không cạn	măt˨ˀ˩lɤ̆m˧˨lɤ̆m˧˨tat˦˥nɯək˦˥dɤ̆m˧˨xoŋ͡m˧˧kan˨ˀ˩ʔ
mặt mo	măt˨ˀ˩mɔ˧˧
mặt muội mày gio	măt˨ˀ˩muəj˨ˀ˩ʔmăj˧˨zɔ˧˧
mặt mày	măt˨ˀ˩măj˧˨
mặt mày sưng sỉa	măt˨ˀ˩măj˧˨sɯŋ˧˧siə˧˩˨
mặt măng miệng sữa	măt˨ˀ˩măŋ˧˧miəŋ˨ˀ˩ʔsɯə˧ˀ˥
mặt mũi	măt˨ˀ˩muj˧ˀ˥
mặt mũi méo mó	măt˨ˀ˩muj˧ˀ˥meo˨˦mɔ˨˦
mặt mẹt	măt˨ˀ˩mɛt˨ˀ˩
mặt ngang mày dọc	măt˨ˀ˩ŋaŋ˧˧măj˧˨zɔk͡p˨ˀ˩
mặt ngang mũi dọc	măt˨ˀ˩ŋaŋ˧˧muj˧ˀ˥zɔk͡p˨ˀ˩
mặt ngay cán thuổng	măt˨ˀ˩ŋăj˧˧kan˨˦tʰuəŋ˧˩˨
mặt ngay cán tàn	măt˨ˀ˩ŋăj˧˧kan˨˦tan˧˨
mặt ngay như chú tàu nghe kèn	măt˨ˀ˩ŋăj˧˧ɲɯ˧˧cu˨˦tăw˧˨ŋɛ˧˧kɛn˧˨
mặt ngay như cán thuổng	măt˨ˀ˩ŋăj˧˧ɲɯ˧˧kan˨˦tʰuəŋ˧˩˨
mặt người dạ thú	măt˨ˀ˩ŋɯəj˧˨za˨ˀ˩ʔtʰu˨˦
mặt ngọc	măt˨ˀ˩ŋɔk͡p˨ˀ˩
mặt ngọc da ngà	măt˨ˀ˩ŋɔk͡p˨ˀ˩za˧˧ŋa˧˨
mặt nhăn như bị	măt˨ˀ˩ɲăn˧˧ɲɯ˧˧bi˨ˀ˩ʔ
mặt như chuột kẹp	măt˨ˀ˩ɲɯ˧˧cuət˨ˀ˩kɛp˨ˀ˩
mặt như chàm đổ	măt˨ˀ˩ɲɯ˧˧cam˧˨do˧˩˨
mặt như mặt mo	măt˨ˀ˩ɲɯ˧˧măt˨ˀ˩mɔ˧˧
mặt như mặt thớt	măt˨ˀ˩ɲɯ˧˧măt˨ˀ˩tʰɤt˦˥
mặt như đổ chàm	măt˨ˀ˩ɲɯ˧˧do˧˩˨cam˧˨
mặt nhẫn	măt˨ˀ˩ɲɤ̆n˧ˀ˥
mặt nón	măt˨ˀ˩nɔn˨˦
mặt nước	măt˨ˀ˩nɯək˦˥
mặt nước chân mây	măt˨ˀ˩nɯək˦˥cɤ̆n˧˧mɤ̆j˧˧
mặt nước cánh bèo	măt˨ˀ˩nɯək˦˥kɛŋ˨˦beo˧˨
mặt nạ	măt˨ˀ˩na˨ˀ˩ʔ
mặt nạc	măt˨ˀ˩nak˨ˀ˩
mặt nạc đóm dày	măt˨ˀ˩nak˨ˀ˩dɔm˨˦zăj˧˨
mặt nặng	măt˨ˀ˩năŋ˨ˀ˩ʔ
mặt nặng mày nhẹ	măt˨ˀ˩năŋ˨ˀ˩ʔmăj˧˨ɲɛ˨ˀ˩ʔ
mặt nặng như chì	măt˨ˀ˩năŋ˨ˀ˩ʔɲɯ˧˧ci˧˨
mặt nặng như đá đeo	măt˨ˀ˩năŋ˨ˀ˩ʔɲɯ˧˧da˨˦deo˧˧
mặt nặng đá đeo	măt˨ˀ˩năŋ˨ˀ˩ʔda˨˦deo˧˧
mặt phèn phẹt như cái mâm	măt˨ˀ˩fɛn˧˨fɛt˨ˀ˩ɲɯ˧˧kaj˨˦mɤ̆m˧˧
